"gender","Age","Attitude","deep","surf","stra","Points"
"F",53,37,3.58333333333333,2.58333333333333,3.375,25
"M",55,31,2.91666666666667,3.16666666666667,2.75,12
"F",49,25,3.5,2.25,3.625,24
"M",53,35,3.5,2.25,3.125,10
"M",49,37,3.66666666666667,2.83333333333333,3.625,22
"F",38,38,4.75,2.41666666666667,3.625,21
"M",50,35,3.83333333333333,1.91666666666667,2.25,21
"F",37,29,3.25,2.83333333333333,4,31
"M",37,38,4.33333333333333,2.16666666666667,4.25,24
"F",42,21,4,3,3.5,26
"M",37,39,3.58333333333333,2.66666666666667,3.625,31
"F",34,38,3.83333333333333,2.41666666666667,4.75,31
"F",34,24,4.25,2.25,3.625,23
"F",34,30,3.33333333333333,2.75,3.5,25
"M",35,26,4.16666666666667,2.33333333333333,1.75,21
"F",46,25,3.08333333333333,2.66666666666667,3.125,0
"F",33,41,3.66666666666667,2.33333333333333,3.875,31
"F",32,26,4.08333333333333,2.91666666666667,1.375,20
"F",44,26,3.5,2.5,3.25,22
"M",29,17,4.08333333333333,3.75,3,9
"F",30,27,4,2.75,3.75,24
"M",27,39,3.91666666666667,2.33333333333333,2.625,28
"M",29,34,4,2.41666666666667,2.375,30
"F",31,27,4,3,3.625,24
"F",37,23,3.66666666666667,2.41666666666667,2.75,9
"F",26,37,3.66666666666667,2.83333333333333,1.75,26
"F",26,44,4.41666666666667,3.16666666666667,3.25,32
"M",30,41,3.91666666666667,3,4,32
"F",37,24,3.83333333333333,2.16666666666667,2.125,0
"F",33,37,3.75,2,3.625,33
"F",33,25,3.25,3.5,2.875,29
"M",28,30,3.58333333333333,3.75,3,30
"M",26,34,4.91666666666667,2.5,1.625,19
"F",27,32,3.58333333333333,2.08333333333333,3.25,23
"F",25,20,2.91666666666667,2.41666666666667,3.5,19
"F",31,24,3.66666666666667,2.58333333333333,3,12
"M",20,42,4.5,1.58333333333333,3.25,10
"F",39,16,4.08333333333333,2.83333333333333,1.875,11
"M",38,31,3.83333333333333,1.83333333333333,4.375,20
"M",24,38,3.25,2.41666666666667,3.625,26
"M",26,38,2.33333333333333,3.25,2.5,31
"M",25,33,3.33333333333333,3.41666666666667,1.25,20
"F",30,17,4.08333333333333,3.41666666666667,4,23
"F",25,25,2.91666666666667,3.16666666666667,3,12
"M",30,32,3.33333333333333,3.5,2.5,24
"F",48,35,3.83333333333333,2.66666666666667,4.875,17
"F",24,32,3.66666666666667,2.41666666666667,5,29
"F",40,42,4.66666666666667,3.58333333333333,4.375,23
"M",25,31,3.75,2.08333333333333,3.25,28
"F",23,39,3.41666666666667,3.75,4,31
"F",25,19,4.16666666666667,2.91666666666667,3.125,23
"F",23,21,2.91666666666667,2.91666666666667,2.5,25
"M",27,25,4.16666666666667,2.41666666666667,3.125,18
"M",25,32,3.58333333333333,3,3.25,19
"M",23,32,2.83333333333333,3.41666666666667,2.125,22
"F",23,26,4,2.91666666666667,2.75,25
"F",23,23,2.91666666666667,3.25,2.375,21
"F",45,38,3,3.25,3.125,9
"F",22,28,4.08333333333333,2.33333333333333,4,28
"F",23,33,2.91666666666667,3.25,4,25
"M",21,48,3.5,2.5,2.25,29
"M",21,40,4.33333333333333,1.75,3.25,33
"F",21,40,4.25,2.25,3.625,33
"F",21,47,3.41666666666667,2.08333333333333,3.625,25
"F",26,23,3.08333333333333,2.83333333333333,2.5,18
"F",25,31,4.58333333333333,2.83333333333333,1.875,22
"F",26,27,3.41666666666667,2.41666666666667,2,17
"M",21,41,3.41666666666667,2.25,1.875,25
"F",22,34,3.5,2.33333333333333,2.625,0
"F",23,34,3.41666666666667,2.83333333333333,4,28
"F",22,25,3.58333333333333,2.25,2.875,22
"F",22,21,1.58333333333333,1.83333333333333,3.875,26
"F",22,14,3.33333333333333,2.91666666666667,2.5,11
"F",23,19,4.33333333333333,2.91666666666667,2.75,29
"M",22,37,4.41666666666667,2.08333333333333,4.5,22
"M",25,41,4.58333333333333,2.66666666666667,3.5,0
"M",23,32,4.83333333333333,2.33333333333333,3.375,21
"M",24,28,3.08333333333333,2.41666666666667,2.625,28
"F",22,41,3,2.75,4.125,33
"F",23,25,4.08333333333333,3.25,2.625,16
"M",22,28,4.08333333333333,1.75,2.25,31
"M",20,38,3.75,2.58333333333333,2.75,22
"M",22,31,3.08333333333333,3.33333333333333,3,31
"M",21,35,4.75,2.83333333333333,1.625,23
"F",22,36,4.25,2.5,1.875,26
"F",23,26,4.16666666666667,2.41666666666667,3.375,12
"M",21,44,4.41666666666667,2.41666666666667,3.75,26
"M",22,45,3.83333333333333,2.58333333333333,2.125,31
"M",29,32,3.33333333333333,3,2.375,19
"F",26,20,3.41666666666667,2.33333333333333,1.75,0
"F",29,39,3.16666666666667,2,2.75,30
"F",21,25,3.16666666666667,3.41666666666667,3.125,12
"M",28,33,3.83333333333333,2.83333333333333,3.5,17
"M",23,35,4.16666666666667,3.41666666666667,1.625,0
"F",21,33,4.25,2.25,2.625,18
"F",30,30,3.83333333333333,2.75,3.375,19
"F",21,29,3.66666666666667,3.91666666666667,2.25,21
"M",23,33,3.83333333333333,2.33333333333333,3,24
"F",21,33,3.83333333333333,2.75,4,28
"F",21,35,3.83333333333333,2.75,3.5,17
"F",20,36,3.66666666666667,2.91666666666667,2.625,18
"M",21,42,4.16666666666667,2.66666666666667,2.875,0
"M",22,37,4.33333333333333,2.08333333333333,2.5,17
"F",35,28,4.41666666666667,3.58333333333333,3.25,0
"M",21,42,3.75,3.66666666666667,3.75,23
"M",22,22,2.66666666666667,3.41666666666667,2,0
"M",21,32,4.16666666666667,2.83333333333333,3.625,26
"F",20,50,4,3.41666666666667,4.125,28
"M",22,47,4,1.58333333333333,4.375,31
"F",20,36,4.58333333333333,2.91666666666667,2.625,27
"F",20,36,3.66666666666667,3,4,25
"M",24,29,3.66666666666667,2.91666666666667,2.75,23
"F",20,35,3.83333333333333,2.66666666666667,2.75,21
"F",19,40,2.58333333333333,3,1.375,27
"F",21,35,3.5,2.75,2.25,28
"F",21,32,3.08333333333333,3.08333333333333,3.625,23
"F",22,26,4.25,2.5,3.75,21
"F",25,20,3.16666666666667,2.33333333333333,4,25
"F",21,27,3.08333333333333,3,3.125,11
"F",22,32,4.16666666666667,3,3.25,19
"F",25,33,2.25,4,2.125,24
"F",20,39,3.33333333333333,3.25,2.875,28
"M",24,33,3.08333333333333,3.5,1.5,21
"F",20,30,2.75,3.5,2.5,24
"M",21,37,3.25,3.83333333333333,3.25,24
"F",26,14,3.75,3.08333333333333,3.25,0
"M",28,30,4.75,2.5,2.5,0
"F",20,25,4,2.91666666666667,3.625,20
"F",20,29,3.58333333333333,2.16666666666667,3.875,19
"M",31,39,4.08333333333333,1.66666666666667,3.875,30
"F",20,36,4.25,2.08333333333333,2.375,22
"F",22,29,3.41666666666667,2.83333333333333,3,16
"F",22,21,3.08333333333333,3.41666666666667,3.375,16
"M",21,31,3.5,3.33333333333333,2.75,19
"F",20,24,3.91666666666667,3.5,3.125,0
"M",22,40,3.66666666666667,2.58333333333333,4.5,30
"F",21,31,4.25,2.83333333333333,2.625,23
"F",21,23,4.25,3.33333333333333,2.75,19
"F",21,28,3.83333333333333,3,3.25,18
"F",21,37,4.41666666666667,2.58333333333333,4.125,28
"F",20,26,3.5,2.41666666666667,3.375,21
"F",21,24,3.58333333333333,3.58333333333333,2.75,19
"F",25,30,3.66666666666667,2.08333333333333,4.125,27
"F",27,29,4.25,2.75,3,0
"F",20,32,3.75,3.91666666666667,4.125,0
"M",21,28,2.08333333333333,4.33333333333333,3.25,24
"F",24,29,4.25,2.66666666666667,2.875,21
"F",20,24,3.58333333333333,3,2.875,20
"M",21,31,4,2.66666666666667,2.375,28
"F",20,19,3.33333333333333,2.16666666666667,3.875,12
"F",20,20,3.5,2.66666666666667,2.125,21
"F",18,38,3.16666666666667,2.25,4,28
"F",21,34,3.58333333333333,2.66666666666667,3.25,31
"F",19,37,3.41666666666667,3.33333333333333,2.625,18
"F",21,29,4.25,3.5,2.75,25
"F",20,23,3.25,2.75,4,19
"M",21,41,4.41666666666667,2,3,21
"F",20,27,3.25,2.83333333333333,3.375,16
"F",21,35,3.91666666666667,3.5,3.875,7
"F",20,34,3.58333333333333,2.5,3.25,21
"F",18,32,4.5,3.16666666666667,3.375,17
"M",22,33,3.58333333333333,3.08333333333333,4.125,22
"F",22,33,3.66666666666667,2.91666666666667,3.5,18
"M",24,35,2.58333333333333,3.16666666666667,2,25
"F",19,32,4.16666666666667,2.5,3.625,24
"F",20,31,3.25,3.83333333333333,3.375,23
"F",21,24,3.58333333333333,2.83333333333333,2.25,0
"F",20,28,4.33333333333333,2.25,2.125,23
"F",17,17,3.91666666666667,3.41666666666667,4.625,26
"M",19,19,2.66666666666667,3.75,2.5,12
"F",23,32,3.58333333333333,1.75,2,0
"F",20,35,3.08333333333333,3,2.875,32
"F",20,24,3.75,2.58333333333333,2.75,22
"F",25,38,4.08333333333333,2.75,3.375,0
"F",20,21,4.16666666666667,3.33333333333333,4,20
"F",20,29,4.16666666666667,2.83333333333333,2.375,21
"F",19,19,3.25,3,3.875,23
"F",19,20,4.08333333333333,2.83333333333333,3.375,20
"F",22,42,2.91666666666667,3.16666666666667,1.75,28
"M",35,41,3.83333333333333,2.75,3,31
"F",18,37,3.16666666666667,3.41666666666667,2.625,18
"F",19,36,3.41666666666667,3,2.625,30
"M",21,18,4.08333333333333,2.66666666666667,3.375,19
